source_id,market_scope,source_name,operator,source_url,trust_tier,default_output,promotable_status,best_for,refresh_cadence,access_boundary,acceptance_rule,downgrade_rule,status,last_reviewed,notes
cn_csrc_disclosure,cn,中国证监会信息披露,中国证券监督管理委员会,https://www.csrc.gov.cn/csrc/c100090/common_list.shtml,S,enterprise_relation_source_results,verified_source,发行审核;再融资;并购重组;监管问询;行政处罚,quarterly,公开网页和 PDF；批量下载需遵守网站规则,official_source_directly_citable,never_downgrade,active,2026-06-27,证监会官方监管披露入口; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
cn_quicksync_tushare,cn,QuickSync Tushare Pro,QuickSync,https://api.quicksync.cn/v1,B,data/intake/collection_runs,candidate_hint,行情分钟线;集合竞价;研报;公告;新闻,daily,用户自有积分账户；Token 本地存储不写入仓库; 请求限频 200次/分钟,cross_validation_required,three_consecutive_failures,active,2026-06-29,[URL_CHECK_FAILED] 30天有效期;15000积分;速率200次/分钟; [URL_FAILED_CONN_[Errno_54]_Connection_reset_by_peer]; [URL_FAILED_CONN_[SSL:_TLSV1_ALERT_INTERNAL_ERROR]_t]; activated_from_reserved; signal_type=news; half_life=168h; family=research; collection=tushare_api
cn_21jingji_news,global,21世纪经济报道,南方财经全媒体集团,https://www.21jingji.com/,B,event_candidates,candidate_hint,A股产业新闻;公司采访;主题催化;政策解读,daily,公开网页；转载页需回到原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威财经媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_yicai_news,global,第一财经,上海第一财经传媒有限公司,https://www.yicai.com/,B,event_candidates,candidate_hint,财经新闻;产业跟踪;政策解读;公司采访,daily,公开网页；视频或直播需保留可核验文字摘录,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威财经媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_stcn_news,cn,证券时报网,证券时报社,https://www.stcn.com/,B,event_candidates,candidate_hint,A股公告解读;公司新闻;政策与市场新闻,daily,公开网页；转载需标明原始来源,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威证券媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:cn
cn_cnstock_news,cn,上海证券报中国证券网,上海证券报社,https://www.cnstock.com/,B,event_candidates,candidate_hint,A股公司新闻;政策新闻;产业跟踪,daily,公开网页；转载需回到原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威证券媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:cn
cn_cs_news,cn,中国证券报中证网,中国证券报社,https://www.cs.com.cn/,B,event_candidates,candidate_hint,A股公司新闻;政策新闻;产业跟踪,daily,公开网页；转载需回到原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威证券媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:cn
cn_bjnews_news,global,新京报,新京报社,https://www.bjnews.com.cn/,B,event_candidates,candidate_hint,监管新闻;公司新闻;公共事件;市场反响,daily,公开网页；需保留可核验正文摘录,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威媒体；事件反响默认不新建 event_log; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_cena_news,global,中国电子报,中国电子报社,https://www.cena.com.cn/,B,event_candidates,candidate_hint,电子信息产业;半导体;通信;制造业政策,monthly,公开网页；转载需回到原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威产业媒体；置信度不得超过新闻来源上限; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
cn_cls_news,global,财联社,上海报业集团,https://www.cls.cn/,B,event_candidates,candidate_hint,快讯;产业新闻;市场反响;主题线索,daily,公开网页；快讯需补正文或独立来源,cross_validation_required,three_consecutive_failures,active,2026-06-27,高频财经线索源；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_sina_finance,global,新浪财经,新浪网,https://finance.sina.com.cn/,B,event_candidates,candidate_hint,财经转载;公司新闻镜像;市场新闻入口,daily,公开网页；必须识别原创/转载来源,cross_validation_required,three_consecutive_failures,failover,2026-06-27,门户/镜像来源；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
us_federal_reserve,us,Federal Reserve,Board of Governors of the Federal Reserve System,https://www.federalreserve.gov/,S,event_candidates,verified_source,FOMC声明;利率决议;监管政策;宏观事件,quarterly,公开网页；不得保存账号或非公开材料,official_source_directly_citable,never_downgrade,active,2026-06-27,美国央行官方来源；不生成交易权限; signal_type=macro; half_life=24h; family=price_proxy; collection=reference_metadata
us_white_house,us,White House,Executive Office of the President,https://www.whitehouse.gov/,S,event_candidates,verified_source,总统行政令;国家安全备忘录;政策公告,quarterly,公开网页；归档页需保留原文链接,official_source_directly_citable,never_downgrade,active,2026-06-27,美国政府官方来源；不生成交易权限; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
us_ustr,us,USTR,Office of the United States Trade Representative,https://ustr.gov/,S,event_candidates,verified_source,贸易调查;关税政策;301调查;制裁相关政策,quarterly,公开网页；需保留官方 press release 或 notice,official_source_directly_citable,never_downgrade,active,2026-06-27,美国贸易政策官方来源; signal_type=policy; half_life=168h; family=research; collection=reference_metadata
us_fda,us,FDA,U.S. Food and Drug Administration,https://www.fda.gov/,S,event_candidates,verified_source,药品审批;临床政策;监管行动;医疗器械,quarterly,公开网页；专业页面需保留标题和正文摘录,official_source_directly_citable,never_downgrade,active,2026-06-27,美国药监官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
us_defense,us,U.S. Department of Defense,U.S. Department of Defense,https://www.defense.gov/,S,event_candidates,verified_source,国防清单;制裁;采购;安全政策,quarterly,公开网页和 PDF；PDF 需可抽取正文,official_source_directly_citable,never_downgrade,active,2026-06-27,美国国防官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
eu_commission,global,European Commission,European Commission,https://commission.europa.eu/,S,event_candidates,verified_source,欧盟政策;产业政策;技术主权;监管方案,quarterly,公开网页；需保留官方新闻或政策原文,official_source_directly_citable,never_downgrade,active,2026-06-27,欧盟委员会官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
eu_council,global,Council of the European Union,Council of the EU,https://www.consilium.europa.eu/,S,event_candidates,verified_source,欧盟制裁;理事会决定;外交安全政策,quarterly,公开网页；制裁列表需保留官方页面或 PDF,official_source_directly_citable,never_downgrade,active,2026-06-27,欧盟理事会官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
uk_gov,global,UK Government,Government Digital Service,https://www.gov.uk/,S,event_candidates,verified_source,英国政策;制裁;监管;产业公告,quarterly,公开网页；需保留官方公告链接,official_source_directly_citable,never_downgrade,active,2026-06-27,英国政府官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
fr_elysee,global,Élysée Palace,Présidence de la République française,https://www.elysee.fr/,S,event_candidates,verified_source,G7声明;法国政策;国际会议公告,quarterly,公开网页；英文页和法文页均需保留原文链接,official_source_directly_citable,never_downgrade,active,2026-06-27,法国总统府官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
cn_mofcom,cn,商务部官网,中华人民共和国商务部,https://www.mofcom.gov.cn/,S,event_candidates,verified_source,出口管制;贸易政策;实体清单;商务政策,quarterly,公开网页；子域名页面需可定位正文,official_source_directly_citable,never_downgrade,active,2026-06-27,中国商务政策官方来源; signal_type=policy; half_life=168h; family=research; collection=reference_metadata
cn_mof,cn,财政部官网,中华人民共和国财政部,https://www.mof.gov.cn/,S,event_candidates,verified_source,财政政策;政府采购;税费政策;预算政策,quarterly,公开网页；子域名页面需可定位正文,official_source_directly_citable,never_downgrade,active,2026-06-27,中国财政政策官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
cn_ndrc,cn,国家发展改革委,中华人民共和国国家发展和改革委员会,https://www.ndrc.gov.cn/,S,event_candidates,verified_source,宏观政策;产业政策;能源消纳;价格政策,quarterly,公开网页；法规或通知需保留原文,official_source_directly_citable,never_downgrade,active,2026-06-27,中国宏观政策官方来源; signal_type=macro; half_life=24h; family=price_proxy; collection=reference_metadata
cn_nea,cn,国家能源局,国家能源局,https://www.nea.gov.cn/,S,event_candidates,verified_source,能源政策;电力;新能源;储能;消纳责任,quarterly,公开网页；通知和统计需保留原文链接,official_source_directly_citable,never_downgrade,active,2026-06-27,中国能源政策官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
cn_miit,cn,工业和信息化部,中华人民共和国工业和信息化部,https://www.miit.gov.cn/,S,event_candidates,verified_source,工业政策;信息通信;人工智能;半导体;制造业,quarterly,公开网页；地方工信转载需回到中央或地方原文,official_source_directly_citable,never_downgrade,active,2026-06-27,中国工信政策官方来源; signal_type=policy; half_life=168h; family=research; collection=reference_metadata
cn_shenzhen_industry_bureau,cn,深圳市工业和信息化局,深圳市工业和信息化局,https://gxj.sz.gov.cn/,S,event_candidates,verified_source,深圳产业政策;人工智能服务器;地方补贴;制造业政策,quarterly,公开网页；只覆盖深圳市工信局域名,official_source_directly_citable,never_downgrade,active,2026-06-27,地方政府官方来源；适用范围限深圳政策; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
world_bank_data,global,World Bank Data,World Bank,https://data.worldbank.org/,A,market_source_result,verified_source,宏观指标;国家数据;经济预测;结构化数据,quarterly,公开网页和公开 API；需记录指标名和时间戳,structured_source_with_verification,stale_data_90d,active,2026-06-27,国际组织结构化来源; signal_type=macro; half_life=168h; family=research; collection=reference_metadata
imf_data,global,IMF Data,International Monetary Fund,https://data.imf.org/,A,market_source_result,verified_source,宏观指标;IFS;WEO;汇率;CPI;GDP,quarterly,公开网页和公开数据；需记录数据库、指标和时间戳,structured_source_with_verification,stale_data_90d,active,2026-06-27,国际组织结构化来源; signal_type=macro; half_life=24h; family=price_proxy; collection=reference_metadata
imf_publications,global,IMF Publications,International Monetary Fund,https://www.imf.org/,A,event_candidates,verified_source,WEO;政策报告;宏观展望;金融稳定报告,quarterly,公开网页和 PDF；需保留报告页或 PDF 原文,structured_source_with_verification,stale_data_90d,active,2026-06-27,国际组织官方报告来源; signal_type=macro; half_life=168h; family=research; collection=reference_metadata
company_nvidia_news,us,NVIDIA Official Newsroom,NVIDIA Corporation,https://nvidianews.nvidia.com/,S,event_candidates,verified_source,公司公告;产品发布;合作协议;AI工厂;芯片路线,quarterly,公开网页；需保留公司官方 newsroom 原文,official_source_directly_citable,never_downgrade,active,2026-06-27,公司官方新闻源; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
company_anthropic_news,us,Anthropic News,Anthropic,https://www.anthropic.com/,S,event_candidates,verified_source,模型发布;产品政策;安全政策;公司公告,quarterly,公开网页；需保留公司官方原文,official_source_directly_citable,never_downgrade,active,2026-06-27,公司官方新闻源; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
cn_xinhua_news,global,新华社,新华通讯社,https://www.news.cn/,A,event_candidates,verified_source,政策新闻;官方通稿;宏观事件;产业新闻,hourly,公开网页；需保留新华社原文,structured_source_with_verification,stale_data_90d,active,2026-06-27,国家通讯社；非公告但高可信新闻源; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_chinanews_news,global,中国新闻网,中国新闻社,https://www.chinanews.com.cn/,B,event_candidates,candidate_hint,宏观新闻;国际新闻;政策新闻;产业新闻,daily,公开网页；需保留原文链接,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威新闻媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_jiemian_news,global,界面新闻,上海报业集团,https://www.jiemian.com/,B,event_candidates,candidate_hint,公司新闻;产业新闻;医药政策;消费与科技,daily,公开网页；需保留正文摘录,cross_validation_required,three_consecutive_failures,active,2026-06-27,财经商业媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_thepaper_news,global,澎湃新闻,上海报业集团,https://www.thepaper.cn/,B,event_candidates,candidate_hint,公司新闻;政策新闻;产业新闻;公共事件,daily,公开网页；需保留正文摘录,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_eastmoney_finance,global,东方财富网,东方财富信息股份有限公司,https://finance.eastmoney.com/,B,event_candidates,candidate_hint,财经转载;行情新闻;公司公告镜像;市场快讯,hourly,公开网页；必须识别原创或转载来源,cross_validation_required,three_consecutive_failures,active,2026-06-27,门户/镜像来源；默认不单源晋级正式事件; signal_type=announcement; half_life=168h; family=news; collection=reference_metadata; cross_validation_group=announcement:global
cn_wallstreetcn_news,global,华尔街见闻,上海阿牛信息科技有限公司,https://wallstreetcn.com/,B,event_candidates,candidate_hint,宏观快讯;海外市场;产业线索;市场反响,monthly,公开网页；快讯需补独立原文,cross_validation_required,three_consecutive_failures,active,2026-06-29,[URL_CHECK_FAILED] 高频财经线索源；默认不单源晋级正式事件; [URL_FAILED_HTTP_403]; activated_from_reserved; signal_type=news; half_life=168h; family=research; collection=reference_metadata
cn_36kr_news,global,36氪,北京多氪信息科技有限公司,https://www.36kr.com/,B,event_candidates,candidate_hint,科技产业新闻;公司融资;AI和硬科技线索,daily,公开网页；需区分原创、转载和商业稿,cross_validation_required,three_consecutive_failures,active,2026-06-27,科技产业媒体；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_eefocus_news,global,与非网,深圳华强电子网集团,https://www.eefocus.com/,B,event_candidates,candidate_hint,半导体;电子产业;产业链线索;技术解读,monthly,公开网页；需区分原创、转载和技术评论,cross_validation_required,three_consecutive_failures,active,2026-06-27,电子产业媒体；默认不单源晋级正式事件; signal_type=reference; half_life=720h; family=research; collection=reference_metadata
cn_tmtpost_news,global,钛媒体,TMTPost,https://www.tmtpost.com/,B,event_candidates,candidate_hint,科技产业新闻;AI;半导体;公司线索,daily,公开网页；需区分原创、转载和评论,cross_validation_required,three_consecutive_failures,active,2026-06-27,科技产业媒体；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_ccidnet_news,global,赛迪网,赛迪传媒,https://www.ccidnet.com/,B,event_candidates,candidate_hint,工信产业新闻;电子信息;软件;数字经济线索,daily,公开网页；重大政策需回到官方原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,产业媒体；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_fujian_industry_bureau,cn,福建省工业和信息化厅,福建省工业和信息化厅,https://gxt.fujian.gov.cn/,S,event_candidates,verified_source,福建产业政策;工信政策转载;地方制造业政策,quarterly,公开网页；只覆盖福建省工信厅域名,official_source_directly_citable,never_downgrade,active,2026-06-27,地方政府官方来源；适用范围限福建政策; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
us_treasury,us,U.S. Treasury,U.S. Department of the Treasury,https://home.treasury.gov/,S,event_candidates,verified_source,财政部公告;制裁;涉外金融政策;财政政策,quarterly,公开网页；需保留官方 press release 原文,official_source_directly_citable,never_downgrade,active,2026-06-27,美国财政部官方来源; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
us_treasury_ofac,us,OFAC,U.S. Treasury Office of Foreign Assets Control,https://ofac.treasury.gov/,S,event_candidates,verified_source,SDN清单;制裁动作;涉外合规;实体名单,quarterly,公开网页；清单更新需保留 action 页面或 sanctions list,official_source_directly_citable,never_downgrade,active,2026-06-27,美国OFAC官方来源; signal_type=reference; half_life=720h; family=research; collection=reference_metadata
us_itc,us,USITC,U.S. International Trade Commission,https://www.usitc.gov/,S,event_candidates,verified_source,337调查;贸易救济;进口调查;裁定公告,quarterly,公开网页和 PDF；需保留调查编号和原文链接,official_source_directly_citable,never_downgrade,active,2026-06-27,美国国际贸易委员会官方来源; signal_type=announcement; half_life=168h; family=research; collection=reference_metadata
us_court_international_trade,us,U.S. Court of International Trade,U.S. Court of International Trade,https://www.cit.uscourts.gov/,S,event_candidates,verified_source,贸易法院裁决;关税诉讼;政策司法风险,quarterly,公开网页和 PDF；PDF 需可抽取正文,official_source_directly_citable,never_downgrade,active,2026-06-27,美国国际贸易法院官方来源; signal_type=policy; half_life=168h; family=research; collection=reference_metadata
eu_digital_strategy,global,European Commission Digital Strategy,European Commission,https://digital-strategy.ec.europa.eu/,S,event_candidates,verified_source,欧盟数字政策;DSA;AI;平台监管;技术主权,quarterly,公开网页；需保留欧盟委员会数字战略原文,official_source_directly_citable,never_downgrade,active,2026-06-27,欧盟委员会数字政策官方子站; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
company_aboutamazon,us,Amazon Official News,Amazon.com Inc.,https://www.aboutamazon.com/,S,event_candidates,verified_source,公司公告;投资计划;云业务;物流;AI基础设施,quarterly,公开网页；需保留公司官方原文,official_source_directly_citable,never_downgrade,active,2026-06-27,公司官方新闻源; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
company_akeso_news,hk,康方生物官网,Akeso Inc.,https://www.akesobio.com/,S,event_candidates,verified_source,公司新闻;药品管线;临床进展;商业化事件,hourly,公开网页；需保留公司官方原文,official_source_directly_citable,never_downgrade,active,2026-06-27,公司官方新闻源; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:hk
company_gacgroup,cn,广汽集团官网,广州汽车集团股份有限公司,https://www.gacgroup.com/,S,event_candidates,verified_source,公司公告;机器人;汽车业务;产业合作,quarterly,公开网页；需保留公司官方原文,official_source_directly_citable,never_downgrade,active,2026-06-27,公司官方新闻源; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
stockanalysis_transcripts,us,StockAnalysis Transcripts,Stock Analysis,https://stockanalysis.com/,B,event_candidates,candidate_hint,美股电话会文本;投资者日转录;财务数据入口,monthly,公开网页；需回到公司IR或SEC交叉验证,cross_validation_required,three_consecutive_failures,active,2026-06-27,转录镜像/二级来源；默认不单源晋级正式事件; signal_type=market_data; half_life=168h; family=research; collection=reference_metadata; cross_validation_group=market_data:us:general
yahoo_finance,global,Yahoo Finance,Yahoo,https://finance.yahoo.com/,B,market_source_result,candidate_hint,行情;公司新闻入口;价格反响;财务摘要,daily,公开网页；行情需记录时间戳,cross_validation_required,three_consecutive_failures,active,2026-06-27,市场数据和新闻入口；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
futunn_news,hk,富途资讯,富途控股,https://news.futunn.com/,B,event_candidates,candidate_hint,港美股资讯;行情反响;公司新闻入口,daily,公开网页；需区分原创、转载和行情快讯,cross_validation_required,three_consecutive_failures,active,2026-06-27,券商资讯入口；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:hk
cn_10jqka_news,cn,同花顺财经,浙江核新同花顺网络信息股份有限公司,https://m.10jqka.com.cn/,B,event_candidates,candidate_hint,A股新闻;研报镜像;行情快讯;政策转载,daily,公开网页；必须识别原创或转载来源,cross_validation_required,three_consecutive_failures,active,2026-06-27,门户/行情混合来源；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:cn
cn_netease_news,global,网易新闻,网易传媒科技有限公司,https://www.163.com/,B,event_candidates,candidate_hint,新闻转载;财经新闻入口;产业线索,daily,公开网页；需识别原创或转载来源,cross_validation_required,three_consecutive_failures,active,2026-06-27,门户来源；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_sohu_news,global,搜狐新闻,搜狐公司,https://www.sohu.com/,B,event_candidates,candidate_hint,新闻转载;财经新闻入口;产业线索,daily,公开网页；需识别原创或转载来源,cross_validation_required,three_consecutive_failures,active,2026-06-27,门户来源；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_xincai_news,cn,新财网,新财网,https://www.xincai.com/,B,event_candidates,candidate_hint,A股新闻转载;证券媒体镜像;科技产业线索,daily,公开网页；需回到原始媒体或官方原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,转载/聚合来源；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:cn
cn_southern_finance_news,global,南方财经网,南方财经全媒体集团,https://www.sfccn.com/,B,event_candidates,candidate_hint,财经新闻;21世纪内容镜像;产业新闻;政策解读,daily,公开网页；需保留原文或移动端等价链接,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威财经媒体体系；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_eeo_news,global,经济观察网,经济观察报社,https://www.eeo.com.cn/,B,event_candidates,candidate_hint,财经新闻;公司新闻;产业新闻;政策观察,daily,公开网页；需保留正文摘录,cross_validation_required,three_consecutive_failures,active,2026-06-27,权威财经媒体；置信度不得超过新闻来源上限; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
cn_phirda_news,cn,中国医药创新促进会,中国医药创新促进会,https://www.phirda.com/,B,event_candidates,candidate_hint,医药政策;创新药;医保谈判;行业线索,monthly,公开网页；政策事件需回到官方原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,行业协会来源；默认不单源晋级正式事件; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
marklines_auto,global,MarkLines,MarkLines Co. Ltd.,https://www.marklines.com/,B,event_candidates,candidate_hint,汽车产业新闻;产销数据;供应链线索,daily,公开网页；付费或摘要需注明可核验范围,cross_validation_required,three_consecutive_failures,active,2026-06-27,汽车产业数据/新闻来源；默认不单源晋级正式事件; signal_type=news; half_life=168h; family=news; collection=news_scheduled; cross_validation_group=news:global
kff_health_policy,us,KFF,Kaiser Family Foundation,https://www.kff.org/,B,event_candidates,candidate_hint,美国医保政策;药价谈判;健康政策研究,monthly,公开网页；政策事件需回到CMS/FDA等官方原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,健康政策研究来源；默认不单源晋级正式事件; signal_type=market_data; half_life=24h; family=price_proxy; collection=reference_metadata; cross_validation_group=market_data:us:general
frontiers_research,global,Frontiers,Frontiers Media,https://www.frontiersin.org/,B,event_candidates,candidate_hint,学术论文;公共卫生;政策效果研究,monthly,公开论文；需保留 DOI/文章页,cross_validation_required,three_consecutive_failures,active,2026-06-27,学术研究来源；默认不单源晋级正式事件; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
mintz_law,us,Mintz,Mintz Levin,https://www.mintz.com/,B,event_candidates,candidate_hint,美国法律解读;医保政策;监管更新,monthly,公开网页；政策事件需回到官方原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,法律专业解读来源；默认不单源晋级正式事件; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
holland_knight_law,us,Holland & Knight,Holland & Knight LLP,https://www.hklaw.com/,B,event_candidates,candidate_hint,美国法律解读;医保政策;监管更新,monthly,公开网页；政策事件需回到官方原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,法律专业解读来源；默认不单源晋级正式事件; signal_type=policy; half_life=720h; family=announcement; collection=reference_metadata
mcdermottplus_policy,us,McDermott+,McDermottPlus,https://www.mcdermottplus.com/,B,event_candidates,candidate_hint,美国医疗政策;医保药价;监管解读,monthly,公开网页；政策事件需回到官方原文,cross_validation_required,three_consecutive_failures,active,2026-06-27,医疗政策解读来源；默认不单源晋级正式事件; signal_type=market_data; half_life=24h; family=price_proxy; collection=reference_metadata; cross_validation_group=market_data:us:general
